
file                                                                            token
----                                                                            -----
C:\Users\Devon Tyler\tillerstead\_includes\components\ts-icon-sprite.html       p-
C:\Users\Devon Tyler\tillerstead\_includes\content\blog-highlights.html         text-
C:\Users\Devon Tyler\tillerstead\_includes\content\build-sidenav.html           text-
C:\Users\Devon Tyler\tillerstead\_includes\content\portfolio-highlights.html    text-
C:\Users\Devon Tyler\tillerstead\_includes\content\reviews-highlights.html      text-
C:\Users\Devon Tyler\tillerstead\_includes\content\ts-plans.html                text-
C:\Users\Devon Tyler\tillerstead\_includes\content\ts-portfolio.html            text-
C:\Users\Devon Tyler\tillerstead\_includes\content\ts-services.html             text-
C:\Users\Devon Tyler\tillerstead\_includes\features\faq-section.html            text-
C:\Users\Devon Tyler\tillerstead\_includes\hero\unified-hero.html               text-
C:\Users\Devon Tyler\tillerstead\_includes\layout\head.html                     p-
C:\Users\Devon Tyler\tillerstead\_includes\layout\logo-sprite-inline.html       text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\home-cta-final.html         text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\home-faq.html               text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\home-portfolio-preview.html text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\home-services-preview.html  text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\home-trust-stats.html       text-
C:\Users\Devon Tyler\tillerstead\_includes\sections\process.html                text-
C:\Users\Devon Tyler\tillerstead\_layouts\build-page.html                       text-
C:\Users\Devon Tyler\tillerstead\_layouts\default.html                          p-
C:\Users\Devon Tyler\tillerstead\_layouts\post.html                             text-
C:\Users\Devon Tyler\tillerstead\.ai\CODEX.md                                   text-
C:\Users\Devon Tyler\tillerstead\.ai\COMPLIANCE.md                              p-
C:\Users\Devon Tyler\tillerstead\.ai\COPILOT.md                                 text-
C:\Users\Devon Tyler\tillerstead\.ai\GPT.md                                     md:
C:\Users\Devon Tyler\tillerstead\.ai\GPT.md                                     text-
C:\Users\Devon Tyler\tillerstead\.ai\SCRIPT_CLASSES.md                          p-
C:\Users\Devon Tyler\tillerstead\.github\instructions\build-troubleshooting.md  p-
C:\Users\Devon Tyler\tillerstead\.github\instructions\README.md                 py-
C:\Users\Devon Tyler\tillerstead\404.html                                       text-
C:\Users\Devon Tyler\tillerstead\assets\downloads\nj-tile-guide.html            text-
C:\Users\Devon Tyler\tillerstead\BUILD_PHASE_REFACTORING.md                     text-
C:\Users\Devon Tyler\tillerstead\CLEANUP_COMPLETE.md                            py-
C:\Users\Devon Tyler\tillerstead\CSS_AND_SCRIPTS_MODERNIZATION.md               lg:
C:\Users\Devon Tyler\tillerstead\CSS_AND_SCRIPTS_MODERNIZATION.md               px-
C:\Users\Devon Tyler\tillerstead\CSS_AND_SCRIPTS_MODERNIZATION.md               py-
C:\Users\Devon Tyler\tillerstead\CSS_AND_SCRIPTS_MODERNIZATION.md               text-
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            2xl:
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            lg:
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            md:
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            px-
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            sm:
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            text-
C:\Users\Devon Tyler\tillerstead\CSS_ARCHITECTURE.md                            xl:
C:\Users\Devon Tyler\tillerstead\DESIGN_SYSTEM.md                               2xl:
C:\Users\Devon Tyler\tillerstead\DESIGN_SYSTEM.md                               lg:
C:\Users\Devon Tyler\tillerstead\DESIGN_SYSTEM.md                               md:
C:\Users\Devon Tyler\tillerstead\DESIGN_SYSTEM.md                               sm:
C:\Users\Devon Tyler\tillerstead\DESIGN_SYSTEM.md                               xl:
C:\Users\Devon Tyler\tillerstead\dist\.AI_GOVERNANCE.md                         py-
C:\Users\Devon Tyler\tillerstead\dist\90S-DESIGN-GUIDE.md                       text-
C:\Users\Devon Tyler\tillerstead\dist\CARTOON-DESIGN-GUIDE.md                   p-
C:\Users\Devon Tyler\tillerstead\dist\CONVERSION-OPTIMIZATION-PLAN.md           p-
C:\Users\Devon Tyler\tillerstead\dist\FOOTER-PATTERN-REFERENCE.md               py-
C:\Users\Devon Tyler\tillerstead\dist\GITHUB_ACTIONS_COMPLETE.md                p-
C:\Users\Devon Tyler\tillerstead\dist\GITHUB_ACTIONS_DEBUG_SUMMARY.md           p-
C:\Users\Devon Tyler\tillerstead\dist\GITHUB_ACTIONS_FIX_REPORT.md              p-
C:\Users\Devon Tyler\tillerstead\dist\GOVERNANCE_COMPLIANCE_AUDIT.md            p-
C:\Users\Devon Tyler\tillerstead\dist\HYBRID-DESIGN-IMPLEMENTATION.md           lg:
C:\Users\Devon Tyler\tillerstead\dist\HYBRID-DESIGN-IMPLEMENTATION.md           md:
C:\Users\Devon Tyler\tillerstead\dist\HYBRID-DESIGN-IMPLEMENTATION.md           sm:
C:\Users\Devon Tyler\tillerstead\dist\ICON_PLACEMENT_GUIDE.md                   p-
C:\Users\Devon Tyler\tillerstead\dist\ICON_SYSTEM.md                            p-
C:\Users\Devon Tyler\tillerstead\dist\ICON_SYSTEM.md                            text-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                gap-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                grid-cols-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                md:
C:\Users\Devon Tyler\tillerstead\dist\index.html                                md:grid-cols-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                p-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                py-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                rounded-
C:\Users\Devon Tyler\tillerstead\dist\index.html                                text-
C:\Users\Devon Tyler\tillerstead\dist\NODE24_UPGRADE_REPORT.md                  p-
C:\Users\Devon Tyler\tillerstead\dist\OPTIMIZATION-FUN-PLAN.md                  p-
C:\Users\Devon Tyler\tillerstead\dist\OPTIMIZATION-FUN-PLAN.md                  text-
C:\Users\Devon Tyler\tillerstead\dist\POST_DEPLOYMENT_VERIFICATION.md           p-
C:\Users\Devon Tyler\tillerstead\dist\POST_DEPLOYMENT_VERIFICATION.md           px-
C:\Users\Devon Tyler\tillerstead\dist\QUICK_REFERENCE.md                        p-
C:\Users\Devon Tyler\tillerstead\dist\SCRIPTS_GUIDE.md                          p-
C:\Users\Devon Tyler\tillerstead\dist\TILLERSTEAD_404_COMPREHENSIVE_FIX.md      p-
C:\Users\Devon Tyler\tillerstead\dist\TILLERSTEAD_DEPLOYMENT_STATUS.md          p-
C:\Users\Devon Tyler\tillerstead\docs\OLLAMA_SETUP.md                           md:
C:\Users\Devon Tyler\tillerstead\docs\OLLAMA_SETUP.md                           p-
C:\Users\Devon Tyler\tillerstead\icon-demo.html                                 p-
C:\Users\Devon Tyler\tillerstead\INDEX.md                                       py-
C:\Users\Devon Tyler\tillerstead\instruction docs\curbless-shower-rebuild.md    p-
C:\Users\Devon Tyler\tillerstead\instruction docs\README.md                     p-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_GUIDE.md                     p-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_GUIDE.md                     text-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_INDEX.md                     p-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_INDEX.md                     py-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_QUICKSTART.md                p-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_SUMMARY.md                   p-
C:\Users\Devon Tyler\tillerstead\JOYFUL_ANIMATIONS_SUMMARY.md                   py-
C:\Users\Devon Tyler\tillerstead\joyful-animations-demo.html                    p-
C:\Users\Devon Tyler\tillerstead\joyful-animations-demo.html                    text-
C:\Users\Devon Tyler\tillerstead\pages\atlantic-county-nj.html                  p-
C:\Users\Devon Tyler\tillerstead\pages\build\curbs-curbless.md                  p-
C:\Users\Devon Tyler\tillerstead\pages\cape-may-county-nj.html                  p-
C:\Users\Devon Tyler\tillerstead\pages\download\nj-tile-guide.html              p-
C:\Users\Devon Tyler\tillerstead\pages\download\nj-tile-guide.html              text-
C:\Users\Devon Tyler\tillerstead\pages\faq.html                                 text-
C:\Users\Devon Tyler\tillerstead\pages\ocean-county-nj.html                     p-
C:\Users\Devon Tyler\tillerstead\pages\plans.html                               text-
C:\Users\Devon Tyler\tillerstead\pages\portfolio.html                           text-
C:\Users\Devon Tyler\tillerstead\pages\pricing.html                             text-
C:\Users\Devon Tyler\tillerstead\pages\process.html                             p-
C:\Users\Devon Tyler\tillerstead\pages\process.html                             text-
C:\Users\Devon Tyler\tillerstead\pages\reviews.html                             p-
C:\Users\Devon Tyler\tillerstead\pages\services.html                            p-
C:\Users\Devon Tyler\tillerstead\pages\success.html                             text-
C:\Users\Devon Tyler\tillerstead\PROJECT_COMPLETION_FINAL.md                    lg:
C:\Users\Devon Tyler\tillerstead\PROJECT_COMPLETION_FINAL.md                    py-
C:\Users\Devon Tyler\tillerstead\README.md                                      text-
C:\Users\Devon Tyler\tillerstead\REFACTORING_COMPLETE_SUMMARY.md                py-
C:\Users\Devon Tyler\tillerstead\REPO_CLEANUP_SUMMARY.md                        py-
C:\Users\Devon Tyler\tillerstead\reports\FOOTER_AND_PATTERNS_AUDIT.md           p-
C:\Users\Devon Tyler\tillerstead\reports\FOOTER_AND_PATTERNS_AUDIT.md           px-
C:\Users\Devon Tyler\tillerstead\reports\MOBILE_CARD_ENHANCEMENTS.md            px-
C:\Users\Devon Tyler\tillerstead\success.html                                   p-
C:\Users\Devon Tyler\tillerstead\success.html                                   text-
C:\Users\Devon Tyler\tillerstead\THEME_DESIGN_AGENT_REPORT.md                   2xl:
C:\Users\Devon Tyler\tillerstead\THEME_DESIGN_AGENT_REPORT.md                   lg:
C:\Users\Devon Tyler\tillerstead\THEME_DESIGN_AGENT_REPORT.md                   md:
C:\Users\Devon Tyler\tillerstead\THEME_DESIGN_AGENT_REPORT.md                   xl:


