"FullPath","RelativePath","Name","Extension","SizeBytes","LastWriteTime","SHA256","NormalizedHash","CanonicalScore"
"C:\web-dev\github-repos\Tillerstead.com\_includes\about-section.html","about-section.html","about-section.html",".html","5844","1/14/2026 23:35:18","D3E38347119023CDF9892B1E488CA491576A8D91F251019BEFEFE6AAD00EF845","078BE6E2A119F0069C3DB4956744DA593CA28B7BC796D59562F2A62CE084BCD2","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\blog-highlights.html","blog-highlights.html","blog-highlights.html",".html","2879","1/14/2026 23:35:18","A21D7D98334EC630E9EA65FEC3AB81BB8621596B37EFC83E71302D5501D3F5EE","45893B2BE2ED335236498B5FE25263ABB37A6CE23F3CD7C2665A6DD9BB54B484","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\breadcrumbs.html","breadcrumbs.html","breadcrumbs.html",".html","979","1/14/2026 23:35:18","7F08F71FA282425608710ADBED6BC8884280383E803A173CF0CD8B4EA32C8240","44ED3B59B0018FD74AA4E007B703740AE7F1484999529D5CA2BB66ECAC91240D","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\build-phase-cta.html","build-phase-cta.html","build-phase-cta.html",".html","3614","1/15/2026 02:29:41","F4C04E6D686981952B4520FF70E2CB48873E5F877323F9D77680FE3A441423B5","54D29F6F8F32C54AEBB72BC07765CDFDD3B8C63BEE449127DF99B457CAE3ABF9","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\build-prev-next.html","build-prev-next.html","build-prev-next.html",".html","1457","1/14/2026 23:35:18","97FF1A8D47DA9C93F68140963AEFB9F6A3F1CBBC93EDC7F905AC30F50038D943","206C143F1E625DBC2102CCB2E34F6C69C69E470EC21F61A574E0FA31AA7C20F2","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\build-sidebar.html","build-sidebar.html","build-sidebar.html",".html","414","1/16/2026 16:14:02","92ACC1FDCFF7A4FDDC2E3B796A5AAD1BF85E306DA5D71C55418E4B8A53D831FF","92ACC1FDCFF7A4FDDC2E3B796A5AAD1BF85E306DA5D71C55418E4B8A53D831FF","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\build-sidenav.html","build-sidenav.html","build-sidenav.html",".html","736","1/14/2026 23:35:18","4DE70BA12317A0D7F1E3041339DD7D60FF37D5E0215469690410DEE21C66B371","536ED244ACED754D4891DB93E87E47A5FF4797936F5A1BF03A27A6AF81FBA4AE","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\contact-long.html","contact-long.html","contact-long.html",".html","234","1/14/2026 23:35:18","C0DE6BA3A7049847F554AF932150E4B64AF66C2556CBA0787AA6FC9F1429C8D7","577B17D4F9D491A9D9354BD231200A85C24C497D5BD5538DEF6AE529E7A19878","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\contact-options.html","contact-options.html","contact-options.html",".html","1139","1/15/2026 03:33:39","A0DFC2EBBDE14BF3BF433A099109D34729DE507D3AC18D986E00F56AF99EBAD7","37AFC9721EE54E6514ED13368505BE15197F3502D4E9A94B0F96C2EBBB41D7C9","90"
"C:\web-dev\github-repos\Tillerstead.com\_includes\contact-page.html","contact-page.html","contact-page.html",".html","720","1/14/2026 23:35:18","97821F27E436BBB21D5F5855F0D0110F028DF3A16F99CC58DFBCB67488AC27B3","E46EF76390C8319DA8F58F524437BB08DBC30AB98FDDF7BABE03B78E5E2008C8","90"
